BatchId,SampleId,ClientId,CaptureTime(UTC),Lat,Long,SiteName,PublishStatus
JVB1554,0CEL3NO8,stratton@ccber.ucsb.edu,2/21/2022 18:52,34.421386,-119.879012,NPB,Private
JVB1554,0IOX2T8L,stratton@ccber.ucsb.edu,2/23/2022 10:12,34.42175162,-119.8794811,NPB1,Public
JVB1554,0NOSWX7W,stratton@ccber.ucsb.edu,2/25/2022 10:41,34.42086709,-119.8741582,NEC,Public
JVB1554,5J7FNP4O,stratton@ccber.ucsb.edu,1/20/2022 18:45,34.4272509,-119.8806163,NVP4,Public
JVB1554,XFXCT0L6,stratton@ccber.ucsb.edu,2/23/2022 18:53,34.41765084,-119.8739754,NVBR,Public
JVB1554,38WW1C5A,stratton@ccber.ucsb.edu,2/22/2022 10:36,34.41391567,-119.8739073,CUL1,Public
JVB1554,53CM7JPJ,stratton@ccber.ucsb.edu,1/14/2022 10:57,34.4217374,-119.8788084,Coprvp1,Public
JVB1554,GJDV8PYM,stratton@ccber.ucsb.edu,1/28/2022 9:26,34.4221291,-119.8811932,NWP (NCOS West Pond),Public
JVB1554,CGEMAYKY,stratton@ccber.ucsb.edu,2/24/2022 20:59,34.4337205,-119.9012249,MO1,Public
JVB1554,O0LYM0YU,stratton@ccber.ucsb.edu,NA,NA,NA,PIER,Private
JVB1554,17OXC1IX,stratton@ccber.ucsb.edu,1/20/2022 18:30,34.4220512,-119.8803264,NVP2,Public
JVB1554,XEL7KT2G,stratton@ccber.ucsb.edu,1/28/2022 10:40,34.4218897,-119.8805078,NDC,Public
